subject_number,time,microstate,gev,duration,coverage,occurrence
S35,2,M1,0.038395,70.90197,10.5981,1.365645
S36,2,M1,0.060519,79.31209,14.976686,1.693065
S37,2,M1,0.095369,84.867465,19.552952,1.994466
S38,2,M1,0.072218,76.645014,16.212094,1.906366
S39,2,M1,0.056731,75.207412,14.753075,1.762438
S40,2,M1,0.054312,72.902128,13.462298,1.615045
S41,2,M1,0.059481,73.235201,15.277187,1.869772
S42,2,M1,0.060847,87.361531,15.341256,1.525868
S43,2,M1,0.07592,77.814523,17.10774,1.980391
S44,2,M1,0.06904,71.269491,15.060632,1.912805
S45,2,M1,0.104234,83.899737,21.840885,2.245427
S46,2,M1,0.054619,77.534312,14.611469,1.705791
S47,2,M1,0.072754,78.880534,16.744068,1.832233
S48,2,M1,0.056529,77.369366,14.525652,1.668561
S1,3,M1,0.057611,73.362429,15.053893,1.85858
S2,3,M1,0.092786,87.544013,17.534064,1.700193
S3,3,M1,0.063285,78.822241,15.658904,1.79237
S4,3,M1,0.049515,73.209679,13.046472,1.63878
S5,3,M1,0.08224,79.358057,18.030123,1.976668
S6,3,M1,0.054156,79.393887,14.001442,1.538092
S7,3,M1,0.093414,81.63193,20.252853,2.181039
S8,3,M1,0.08654,84.365038,19.719011,2.019759
S9,3,M1,0.090187,81.958302,17.978669,1.934751
S10,3,M1,0.085711,78.487098,18.47214,2.105562
S11,3,M1,0.094259,82.414727,19.559707,2.081976
S12,3,M1,0.08043,75.487658,17.45731,2.07385
S13,3,M1,0.07318,81.806134,15.366563,1.662307
S14,3,M1,0.062991,75.749636,14.612557,1.735271
S15,3,M1,0.059097,77.845242,14.251006,1.667342
S16,3,M1,0.059529,74.883627,13.337681,1.578114
S17,3,M1,0.079922,77.307337,17.91702,2.042715
S18,3,M1,0.066386,74.02544,15.071497,1.829123
S19,3,M1,0.03848,74.530727,11.448581,1.372091
S20,3,M1,0.101305,83.778582,20.130961,2.00766
